Event number,Picked arrival,Tag,Arrival type,IRIS Event ID,file,file_start
23,2018-10-28 22:34:10.000,***,body,10965035,data\DonneesB23\2018-10\2018-10-26\2018-10-26T00_09_49.800000,2018-10-26 00:09:49
24,2018-11-15 23:16:00.000,***,body,10971868,data\DonneesB23\2018-11\2018-11-15\2018-11-15T21_10_02.400000,2018-11-15 21:10:02
25,2018-11-22 16:13:20.000,***,body,10973739,data\DonneesB23\2018-11\2018-11-21\2018-11-21T06_08_02.175000,2018-11-21 06:08:02
26,2018-11-24 23:52:00.000,***,body,10974269,data\DonneesB23\2018-11\2018-11-23\2018-11-23T18_29_28.525000,2018-11-23 18:29:28
27,2018-12-19 01:45:00.000,***,body,10986932,data\DonneesB23\2018-12\2018-12-12\2018-12-12T16_33_41.300000,2018-12-12 16:33:41
28,2018-12-20 17:15:00.000,***,body,10987513,data\DonneesB23\2018-12\2018-12-20\2018-12-20T12_11_18.075000,2018-12-20 12:11:18
29,2019-01-15 18:15:20.000,***,body,10996154,data\DonneesB23\2019-01\2019-01-15\2019-01-15T01_51_02.250000,2019-01-15 01:51:02
30,2019-01-22 19:16:00.000,***,body,10998373,data\DonneesB23\2019-01\2019-01-22\2019-01-22T08_07_47.025000,2019-01-22 08:07:47
31,2019-04-16 09:38:30.000,S3,surface,11026352,data\DonneesB23\2019-04\2019-04-14\2019-04-14T03_51_33.750000,2019-04-14 03:51:33
32,2019-05-14 13:09:15.000,***,body,11037207,data\DonneesB23\2019-05\2019-05-11\2019-05-11T12_50_22.775000,2019-05-11 12:50:22
33,2019-05-30 09:14:00.000,***,body,11042482,data\DonneesB23\2019-05\2019-05-27\2019-05-27T12_00_20.025000,2019-05-27 12:00:20
34,2019-06-02 10:42:20.000,***,body,11043682,data\DonneesB23\2019-05\2019-05-27\2019-05-27T12_00_20.025000,2019-05-27 12:00:20
35,2019-06-14 00:29:40.000,***,body,11048697,data\DonneesB23\2019-06\2019-06-13\2019-06-13T05_15_02.250000,2019-06-13 05:15:02
36,2019-06-15 22:02:00.000,***,body,11049511,data\DonneesB23\2019-06\2019-06-13\2019-06-13T05_15_02.250000,2019-06-13 05:15:02
37,2019-06-15 23:01:19.842,***,body,11049517,data\DonneesB23\2019-06\2019-06-13\2019-06-13T05_15_02.250000,2019-06-13 05:15:02
